StudentID,Number Class Attended,Previous Semester Score,Currently Working,Sleep Hours,Number of Practice Sets Solved
BITS0132,9,89,Yes,5,3
BITS0133,4,54,No,7,5
BITS0134,9,51,No,6,7
BITS0135,3,88,No,5,8
BITS0136,7,96,No,5,3
BITS0137,6,54,No,8,0
BITS0138,8,73,Yes,6,4
BITS0139,9,45,Yes,8,4
BITS0140,5,56,No,7,8
BITS0141,1,87,No,8,5
BITS0142,3,88,Yes,4,4
BITS0143,8,96,No,8,9
BITS0144,6,59,Yes,4,9
BITS0145,8,48,No,5,4
BITS0146,9,98,Yes,7,7
BITS0147,4,44,Yes,9,0
BITS0148,1,62,No,4,4
BITS0149,1,72,No,7,0
BITS0150,4,77,Yes,8,6
BITS0151,7,95,No,9,6
BITS0152,2,53,Yes,8,9
BITS0153,3,56,No,5,7
BITS0154,1,96,No,8,6
BITS0155,5,58,No,4,8
BITS0156,1,72,Yes,5,7
BITS0157,8,40,Yes,7,7
BITS0158,1,52,No,5,2
BITS0159,1,85,Yes,7,9
BITS0160,2,66,No,6,3
BITS0161,2,45,Yes,4,3
BITS0162,6,98,No,4,0
BITS0163,7,45,Yes,7,5
BITS0164,5,72,Yes,8,1
BITS0165,1,69,Yes,9,8
BITS0166,1,85,Yes,8,0
BITS0167,3,74,Yes,6,0
BITS0168,2,62,Yes,7,9
BITS0169,5,49,No,6,5
BITS0170,6,90,No,7,0
BITS0171,7,58,Yes,6,2
BITS0172,4,90,No,7,9
BITS0173,7,67,Yes,4,1
BITS0174,8,62,No,6,8
BITS0175,1,43,No,6,4
BITS0176,6,59,No,7,5
BITS0177,8,58,No,5,1
BITS0178,5,81,Yes,5,7
BITS0179,4,66,No,4,5
BITS0180,2,96,No,8,7
BITS0181,6,73,No,8,7
BITS0182,6,43,Yes,4,0
BITS0183,1,95,No,8,6
BITS0184,9,77,Yes,9,1
BITS0185,6,46,Yes,9,7
BITS0186,3,87,No,9,1
BITS0187,4,46,Yes,9,3
BITS0188,4,89,No,7,1
BITS0189,3,91,No,5,6
BITS0190,3,65,No,4,4
BITS0191,3,65,No,7,8
BITS0192,4,93,No,9,4
BITS0193,7,58,No,4,7
BITS0194,4,48,No,5,1
BITS0195,9,59,Yes,8,2
BITS0196,1,81,Yes,7,5
BITS0197,8,84,No,5,6
BITS0198,7,89,No,4,9
BITS0199,2,55,Yes,6,7
BITS0200,8,93,No,7,2
BITS0201,1,56,Yes,4,6
BITS0202,9,61,Yes,4,7
BITS0203,9,52,No,5,9
BITS0204,2,51,No,4,5
BITS0205,7,49,Yes,7,3
BITS0206,3,40,Yes,9,5
BITS0207,7,71,No,7,8
BITS0208,9,69,No,4,2
BITS0209,4,47,Yes,5,1
BITS0210,1,60,Yes,7,4
BITS0211,2,61,Yes,6,6
BITS0212,1,57,No,9,2
BITS0213,5,41,No,8,4
BITS0214,5,87,No,5,3
BITS0215,7,83,Yes,5,6
BITS0216,9,48,Yes,8,1
BITS0217,9,42,No,8,6
BITS0218,3,93,Yes,7,1
BITS0219,3,65,Yes,4,2
BITS0220,3,60,Yes,4,4
BITS0221,4,69,Yes,6,6
BITS0222,8,67,Yes,9,5
BITS0223,6,75,No,4,6
BITS0224,8,65,No,6,5
BITS0225,1,73,No,6,0
BITS0226,8,47,No,5,4
BITS0227,4,49,No,5,0
BITS0228,1,87,Yes,9,6
BITS0229,8,94,Yes,7,3
BITS0230,4,82,Yes,8,4
BITS0231,6,89,No,8,0
BITS0232,8,93,Yes,9,7
BITS0233,4,53,Yes,6,3
BITS0234,3,79,Yes,9,2
BITS0235,9,94,No,8,0
BITS0236,3,54,Yes,6,3
BITS0237,9,56,Yes,8,2
BITS0238,2,92,No,7,7
BITS0239,2,57,No,5,8
BITS0240,2,71,Yes,5,4
BITS0241,6,77,No,6,8
BITS0242,3,62,Yes,9,0
BITS0243,9,85,No,8,6
BITS0244,4,62,Yes,4,6
BITS0245,1,74,Yes,7,5
BITS0246,4,78,No,8,3
BITS0247,1,54,No,4,8
BITS0248,5,92,No,7,2
BITS0249,4,63,No,7,0
BITS0250,8,67,Yes,5,1
BITS0251,8,55,No,6,2
BITS0252,7,,Yes,8,1
BITS0253,3,79,Yes,7,5
BITS0254,1,78,Yes,8,6
BITS0255,1,45,No,7,4
BITS0256,3,41,Yes,9,4
BITS0257,6,93,Yes,5,6
BITS0258,7,52,No,6,5
BITS0259,6,83,Yes,4,7
BITS0260,6,86,Yes,4,8
BITS0261,6,98,Yes,9,1
BITS0262,3,48,No,5,1
BITS0263,6,73,Yes,7,0
BITS0264,8,56,Yes,5,6
BITS0265,2,66,Yes,6,3
BITS0266,5,68,No,4,8
BITS0267,1,76,No,8,5
BITS0268,1,82,No,4,6
BITS0269,5,61,Yes,6,6
BITS0270,3,90,Yes,7,7
BITS0271,4,63,Yes,5,3
BITS0272,3,46,Yes,4,2
BITS0273,1,73,Yes,4,2
BITS0274,1,87,No,8,9
BITS0275,5,51,Yes,5,7
BITS0276,6,62,Yes,8,2
BITS0277,3,54,No,8,7
BITS0278,9,72,No,7,1
BITS0279,5,96,Yes,4,4
BITS0280,8,52,No,9,4
BITS0281,1,62,No,5,6
BITS0282,5,77,No,7,4
BITS0283,3,71,Yes,9,8
BITS0284,1,84,No,7,2
BITS0285,4,89,Yes,7,8
BITS0286,5,74,No,6,0
BITS0287,7,40,Yes,6,2
BITS0288,1,86,Yes,7,3
BITS0289,3,97,Yes,6,5
BITS0290,2,84,No,5,9
BITS0291,9,44,No,4,7
BITS0292,6,96,No,9,6
BITS0293,3,52,Yes,5,7
BITS0294,8,93,No,4,5
BITS0295,8,44,No,6,5
BITS0296,2,99,Yes,9,5
BITS0297,6,71,No,5,2
BITS0298,7,90,Yes,8,9
BITS0299,2,60,No,7,3
BITS0300,2,63,Yes,4,5
BITS0301,1,99,Yes,4,6
BITS0302,8,57,No,8,2
BITS0303,1,60,Yes,8,3
BITS0304,9,93,No,7,5
BITS0305,6,49,No,6,0
BITS0306,7,63,No,5,6
BITS0307,7,79,No,5,0
BITS0308,3,86,Yes,5,9
BITS0309,2,60,Yes,6,8
BITS0310,9,64,Yes,7,9
BITS0311,8,91,No,5,8
BITS0312,7,99,No,4,8
BITS0313,9,96,Yes,4,3
BITS0314,4,98,Yes,4,1
BITS0315,4,62,No,8,6
BITS0316,1,61,No,8,3
BITS0317,8,43,No,6,4
BITS0318,3,73,Yes,5,0
BITS0319,7,95,No,8,9
BITS0320,2,45,Yes,4,5
BITS0321,2,67,No,8,6
BITS0322,7,,Yes,4,2
BITS0323,6,74,No,5,9
BITS0324,3,78,Yes,6,1
BITS0325,9,81,Yes,7,9
BITS0326,6,62,Yes,7,6
BITS0327,6,45,No,4,0
BITS0328,1,55,Yes,8,1
BITS0329,4,41,Yes,8,2
BITS0330,6,63,No,4,3
BITS0331,6,56,Yes,5,4
BITS0332,5,84,Yes,4,3
BITS0333,1,40,No,5,9
BITS0334,8,45,Yes,6,2
BITS0335,5,44,No,6,0
BITS0336,5,96,Yes,4,6
BITS0337,7,84,No,6,9
BITS0338,4,99,Yes,8,5
BITS0339,6,94,Yes,5,1
BITS0340,4,89,Yes,7,1
BITS0341,3,68,No,7,2
BITS0342,7,51,Yes,6,7
BITS0343,8,78,Yes,5,7
BITS0344,4,86,No,8,9
BITS0345,2,42,No,7,9
BITS0346,3,87,No,8,9
BITS0347,1,40,Yes,8,9
BITS0348,8,66,Yes,7,7
BITS0349,3,87,Yes,7,6
BITS0350,7,63,No,6,1
BITS0351,5,83,No,5,0
BITS0352,5,58,Yes,4,5
BITS0353,7,98,Yes,5,7
BITS0354,9,47,No,4,0
BITS0355,5,94,No,7,2
BITS0356,1,83,No,8,0
BITS0357,1,86,Yes,5,9
BITS0358,2,41,No,8,8
BITS0359,6,69,No,5,6
BITS0360,9,69,No,9,7
BITS0361,8,88,No,5,8
BITS0362,5,78,Yes,8,2
BITS0363,1,84,No,9,9
BITS0364,7,71,Yes,6,1
BITS0365,5,40,Yes,7,5
BITS0366,6,77,No,6,4
BITS0367,7,52,No,6,3
BITS0368,3,50,Yes,5,5
BITS0369,3,49,No,7,5
BITS0370,5,87,Yes,9,2
BITS0371,6,98,No,5,1
BITS0372,9,65,Yes,4,8
BITS0373,5,95,Yes,5,7
BITS0374,1,94,Yes,9,3
BITS0375,4,59,No,8,5
BITS0376,5,56,Yes,5,2
BITS0377,5,56,Yes,4,7
BITS0378,7,43,No,5,2
BITS0379,4,44,No,9,1
BITS0380,1,99,Yes,4,6
BITS0381,5,62,Yes,7,2
BITS0382,7,85,No,9,8
BITS0383,6,91,Yes,5,2
BITS0384,5,49,No,4,7
BITS0385,4,85,No,9,1
BITS0386,2,67,No,7,8
BITS0387,4,72,Yes,8,0
BITS0388,3,82,No,6,2
BITS0389,1,65,Yes,4,1
BITS0390,8,94,Yes,8,6
BITS0391,5,89,No,7,4
BITS0392,4,87,No,8,7
BITS0393,8,68,No,5,1
BITS0394,7,66,No,6,7
BITS0395,2,57,Yes,4,6
BITS0396,1,79,Yes,9,4
BITS0397,4,99,No,7,1
BITS0398,8,49,Yes,6,9
BITS0399,2,97,No,7,6
BITS0400,3,81,Yes,8,9
BITS0401,1,44,Yes,7,3
BITS0402,1,49,Yes,7,3
BITS0403,3,89,No,8,7
BITS0404,5,60,Yes,8,5
BITS0405,3,63,Yes,6,8
BITS0406,1,77,Yes,4,1
BITS0407,1,42,Yes,8,4
BITS0408,8,79,No,6,5
BITS0409,2,70,Yes,7,7
BITS0410,3,80,No,7,3
BITS0411,2,76,No,9,6
BITS0412,3,41,Yes,5,6
BITS0413,7,41,Yes,8,3
BITS0414,1,78,No,6,0
BITS0415,8,88,No,9,2
BITS0416,2,81,No,6,1
BITS0417,3,83,Yes,4,2
BITS0418,9,73,Yes,9,4
BITS0419,7,81,No,6,0
BITS0420,4,59,No,8,4
BITS0421,5,72,No,6,1
BITS0422,2,43,Yes,5,3
BITS0423,8,84,Yes,7,5
BITS0424,4,83,No,7,8
BITS0425,9,50,Yes,9,9
BITS0426,5,81,No,6,5
BITS0427,9,86,Yes,6,9
BITS0428,4,44,No,6,1
BITS0429,5,64,Yes,6,7
BITS0430,9,88,Yes,5,4
BITS0431,8,99,Yes,8,8
BITS0432,3,76,Yes,5,9
BITS0433,1,73,Yes,5,8
BITS0434,3,48,Yes,5,3
BITS0435,4,45,Yes,7,0
BITS0436,2,57,No,5,8
BITS0437,1,53,No,6,8
BITS0438,7,58,No,5,7
BITS0439,8,53,Yes,6,4
BITS0440,,79,Yes,9,4
BITS0441,5,56,Yes,8,9
BITS0442,1,99,No,7,5
BITS0443,7,74,No,8,0
BITS0444,7,68,No,9,8
BITS0445,9,81,No,8,4
BITS0446,3,56,No,7,6
BITS0447,9,98,No,6,7
BITS0448,1,82,Yes,9,4
BITS0449,1,47,No,9,2
BITS0450,4,40,Yes,6,5
BITS0451,9,84,No,6,6
BITS0452,6,92,No,7,3
BITS0453,3,75,Yes,5,8
BITS0454,1,46,Yes,4,3
BITS0455,4,85,Yes,5,9
BITS0456,9,44,No,5,1
BITS0457,3,63,No,8,8
BITS0458,9,67,Yes,4,3
BITS0459,7,82,No,6,3
BITS0460,4,56,Yes,5,9
BITS0461,3,76,No,7,0
BITS0462,5,59,No,5,1
BITS0463,5,42,No,6,2
BITS0464,3,76,Yes,5,6
BITS0465,9,65,No,9,8
BITS0466,4,54,Yes,8,4
BITS0467,5,90,Yes,8,3
BITS0468,4,87,Yes,5,1
BITS0469,5,47,Yes,8,6
BITS0470,7,52,Yes,7,5
BITS0471,9,87,Yes,4,6
BITS0472,7,42,Yes,5,7
BITS0473,5,40,Yes,7,8
BITS0474,7,48,Yes,9,9
BITS0475,5,70,No,7,4
BITS0476,3,80,Yes,7,4
BITS0477,7,93,No,9,3
BITS0478,2,65,Yes,6,2
BITS0479,9,56,No,5,6
BITS0480,1,95,No,5,4
BITS0481,6,73,No,5,6
BITS0482,7,48,No,4,1
BITS0483,8,95,No,7,8
BITS0484,9,90,No,5,8
BITS0485,2,52,Yes,8,8
BITS0486,2,44,Yes,6,4
BITS0487,5,80,Yes,9,9
BITS0488,5,52,Yes,9,8
BITS0489,6,40,Yes,4,0
BITS0490,3,64,Yes,9,1
BITS0491,8,86,No,6,9
BITS0492,1,43,Yes,7,4
BITS0493,6,75,No,9,4
BITS0494,4,91,No,9,5
BITS0495,1,49,No,8,7
BITS0496,7,67,No,7,0
BITS0497,9,96,No,5,9
BITS0498,4,45,No,6,8
BITS0499,4,66,Yes,9,3
BITS0500,6,95,No,8,7
BITS0501,3,51,No,6,4
BITS0502,6,91,Yes,4,0
BITS0503,7,87,Yes,8,8
BITS0504,3,42,Yes,4,7
BITS0505,7,85,Yes,9,4
BITS0506,3,72,Yes,8,3
BITS0507,2,49,Yes,5,7
BITS0508,4,70,Yes,6,8
BITS0509,8,54,No,6,6
BITS0510,9,46,Yes,7,3
BITS0511,7,75,No,8,6
BITS0512,1,53,Yes,8,5
BITS0513,3,95,Yes,4,2
BITS0514,9,87,No,8,9
BITS0515,1,53,Yes,6,2
BITS0516,9,42,Yes,8,0
BITS0517,8,88,Yes,7,4
BITS0518,1,92,Yes,7,7
BITS0519,6,85,Yes,6,5
BITS0520,5,89,Yes,6,7
BITS0521,6,42,Yes,6,6
BITS0522,5,61,No,8,1
BITS0523,6,58,Yes,8,7
BITS0524,5,74,No,5,3
BITS0525,5,51,No,9,4
BITS0526,4,93,No,9,7
BITS0527,3,44,No,4,4
BITS0528,3,49,No,8,4
BITS0529,4,80,No,5,5
BITS0530,9,72,No,5,6
BITS0531,2,52,Yes,7,8
BITS0532,9,74,Yes,8,6
BITS0533,1,90,Yes,5,5
BITS0534,1,71,No,7,9
BITS0535,5,50,Yes,4,3
BITS0536,6,87,No,7,9
BITS0537,6,77,No,4,1
BITS0538,3,63,Yes,9,8
BITS0539,7,74,No,9,9
BITS0540,9,58,No,6,4
BITS0541,8,45,Yes,6,4
BITS0542,6,79,No,7,2
BITS0543,8,93,Yes,6,2
BITS0544,5,84,No,8,0
BITS0545,8,83,No,7,4
BITS0546,4,81,Yes,5,2
BITS0547,8,74,Yes,8,1
BITS0548,2,43,Yes,7,8
BITS0549,5,72,No,9,9
BITS0550,9,52,No,4,5
BITS0551,4,95,Yes,6,2
BITS0552,6,75,Yes,6,6
BITS0553,1,93,Yes,6,8
BITS0554,9,82,No,7,8
BITS0555,1,58,No,8,0
BITS0556,5,82,Yes,4,1
BITS0557,4,51,Yes,6,7
BITS0558,3,50,Yes,8,0
BITS0559,6,45,No,5,2
BITS0560,2,51,Yes,9,6
BITS0561,3,66,Yes,5,7
BITS0562,5,80,Yes,4,4
BITS0563,9,64,No,6,1
BITS0564,2,81,No,5,2
BITS0565,8,42,Yes,9,8
BITS0566,2,42,No,8,9
BITS0567,5,59,Yes,8,6
BITS0568,7,67,Yes,5,0
BITS0569,8,62,Yes,6,2
BITS0570,1,87,Yes,9,8
BITS0571,6,42,No,4,6
BITS0572,1,81,Yes,6,1
BITS0573,2,63,Yes,7,5
BITS0574,1,82,No,5,8
BITS0575,5,79,Yes,7,3
BITS0576,9,45,No,5,9
BITS0577,,59,Yes,4,1
BITS0578,1,50,Yes,6,2
BITS0579,1,71,Yes,9,6
BITS0580,2,99,Yes,6,3
BITS0581,9,66,No,5,6
BITS0582,3,60,Yes,8,4
BITS0583,,83,No,7,7
BITS0584,5,87,No,9,7
BITS0585,7,89,No,9,4
BITS0586,6,52,Yes,6,6
BITS0587,1,61,No,6,5
BITS0588,5,74,No,5,7
BITS0589,5,86,No,8,8
BITS0590,6,61,Yes,7,4
BITS0591,3,67,Yes,8,6
BITS0592,5,60,No,9,0
BITS0593,7,85,No,8,7
BITS0594,5,57,Yes,5,2
BITS0595,5,70,No,8,0
BITS0596,5,99,No,7,5
BITS0597,3,85,No,9,7
BITS0598,1,76,Yes,4,2
BITS0599,5,60,No,9,0
BITS0600,9,53,No,4,2
BITS0601,1,64,Yes,7,4
BITS0602,3,66,No,9,7
BITS0603,4,79,Yes,9,8
BITS0604,1,99,Yes,9,8
BITS0605,1,99,Yes,9,3
BITS0606,8,62,No,5,7
BITS0607,2,70,No,6,4
BITS0608,8,86,No,9,2
BITS0609,7,99,No,5,4
BITS0610,2,68,No,7,1
BITS0611,6,86,No,9,5
BITS0612,6,69,No,8,0
BITS0613,3,90,No,9,5
BITS0614,2,65,Yes,9,4
BITS0615,1,59,No,4,8
BITS0616,6,77,No,8,6
BITS0617,5,58,Yes,9,5
BITS0618,9,66,No,9,6
BITS0619,1,64,Yes,9,9
BITS0620,7,79,No,5,4
BITS0621,5,77,No,7,0
BITS0622,5,91,Yes,4,8
BITS0623,2,62,Yes,9,4
BITS0624,3,68,No,7,3
BITS0625,7,54,Yes,4,5
BITS0626,6,98,No,4,4
BITS0627,2,42,No,4,0
BITS0628,6,49,No,9,1
BITS0629,2,54,No,5,3
BITS0630,2,95,No,9,7
BITS0631,2,55,No,9,4
BITS0632,3,56,Yes,7,6
BITS0633,2,58,Yes,6,1
BITS0634,4,50,Yes,6,7
BITS0635,9,87,No,6,4
BITS0636,6,44,Yes,7,3
BITS0637,1,44,No,8,8
BITS0638,8,97,Yes,7,5
BITS0639,7,53,No,4,3
BITS0640,3,89,No,9,7
BITS0641,1,65,No,8,2
BITS0642,5,47,No,4,9
BITS0643,4,44,No,9,1
BITS0644,8,46,Yes,9,6
BITS0645,1,55,No,4,3
BITS0646,1,94,Yes,7,3
BITS0647,4,53,No,6,9
BITS0648,8,76,No,8,8
BITS0649,5,95,No,9,1
BITS0650,2,80,Yes,5,0
BITS0651,6,43,No,9,6
BITS0652,5,75,Yes,6,7
BITS0653,2,87,No,9,2
BITS0654,3,95,Yes,5,1
BITS0655,9,56,Yes,7,3
BITS0656,7,86,Yes,9,1
BITS0657,7,75,No,8,1
BITS0658,6,45,No,7,4
BITS0659,8,55,Yes,5,9
BITS0660,4,68,No,4,4
BITS0661,8,75,No,9,7
BITS0662,4,77,No,7,8
BITS0663,8,76,Yes,9,1
BITS0664,9,87,Yes,8,0
BITS0665,3,96,No,9,2
BITS0666,3,87,Yes,7,5
BITS0667,2,49,No,6,4
BITS0668,3,80,No,7,7
BITS0669,3,75,Yes,5,7
BITS0670,5,68,Yes,7,1
BITS0671,5,53,No,8,8
BITS0672,2,43,No,7,3
BITS0673,6,83,No,7,0
BITS0674,5,95,Yes,8,1
BITS0675,6,81,Yes,7,5
BITS0676,1,75,No,8,4
BITS0677,5,89,No,5,6
BITS0678,9,84,Yes,8,8
BITS0679,2,52,No,5,5
BITS0680,1,85,Yes,5,5
BITS0681,9,57,Yes,8,1
BITS0682,9,72,No,7,6
BITS0683,9,60,No,9,1
BITS0684,6,55,Yes,6,6
BITS0685,8,54,No,9,7
BITS0686,1,93,Yes,8,0
BITS0687,4,96,Yes,7,8
BITS0688,1,44,Yes,5,7
BITS0689,8,45,No,4,8
BITS0690,1,77,No,6,4
BITS0691,3,42,No,9,3
BITS0692,4,87,Yes,7,0
BITS0693,8,51,Yes,6,8
BITS0694,6,75,Yes,4,3
BITS0695,7,72,Yes,4,3
BITS0696,8,75,No,4,3
BITS0697,2,72,No,9,1
BITS0698,8,70,No,8,3
BITS0699,3,60,Yes,6,1
BITS0700,7,66,Yes,8,7
BITS0701,3,66,No,4,6
BITS0702,7,47,Yes,7,9
BITS0703,2,95,No,4,1
BITS0704,6,76,Yes,8,1
BITS0705,3,71,Yes,4,1
BITS0706,3,65,Yes,4,0
BITS0707,9,41,Yes,8,5
BITS0708,7,51,Yes,8,5
BITS0709,5,61,No,7,0
BITS0710,7,56,No,8,0
BITS0711,9,46,No,7,5
BITS0712,1,82,Yes,5,5
BITS0713,7,43,No,5,3
BITS0714,6,76,No,8,2
BITS0715,9,77,Yes,4,8
BITS0716,1,71,Yes,6,5
BITS0717,4,50,No,4,0
BITS0718,9,40,No,8,2
BITS0719,4,64,No,7,0
BITS0720,3,81,No,4,2
BITS0721,9,91,No,5,1
BITS0722,2,63,Yes,9,4
BITS0723,4,92,No,8,2
BITS0724,6,82,No,4,6
BITS0725,2,95,No,9,7
BITS0726,8,56,No,4,6
BITS0727,8,47,No,7,1
BITS0728,1,98,No,7,9
BITS0729,3,84,Yes,7,9
BITS0730,9,66,Yes,9,6
BITS0731,5,91,Yes,6,9
BITS0732,6,57,No,9,2
BITS0733,4,66,No,8,6
BITS0734,2,61,Yes,8,0
BITS0735,8,55,No,5,1
BITS0736,6,41,No,5,9
BITS0737,5,44,No,8,0
BITS0738,9,57,Yes,4,8
BITS0739,1,42,Yes,8,1
BITS0740,5,66,Yes,6,1
BITS0741,6,93,No,5,5
BITS0742,5,56,Yes,5,6
BITS0743,6,55,Yes,9,1
BITS0744,6,45,Yes,5,3
BITS0745,7,90,No,8,2
BITS0746,4,46,Yes,5,4
BITS0747,8,89,Yes,5,8
BITS0748,7,53,No,9,1
BITS0749,9,77,Yes,8,4
BITS0750,7,79,No,4,7
BITS0751,3,54,No,5,5
BITS0752,3,86,Yes,5,3
BITS0753,8,86,Yes,5,9
BITS0754,5,87,Yes,6,7
BITS0755,4,72,No,8,2
BITS0756,8,82,Yes,5,3
BITS0757,6,66,Yes,6,8
BITS0758,2,68,Yes,4,4
BITS0759,4,96,No,4,5
BITS0760,4,76,No,9,1
BITS0761,6,44,No,9,8
BITS0762,6,68,Yes,9,7
BITS0763,1,71,Yes,6,6
BITS0764,8,99,No,4,8
BITS0765,6,92,Yes,9,4
BITS0766,3,45,Yes,7,4
BITS0767,9,41,No,9,8
BITS0768,2,45,No,4,4
BITS0769,8,85,No,7,8
BITS0770,3,82,Yes,6,0
BITS0771,5,43,Yes,7,9
BITS0772,6,95,Yes,4,9
BITS0773,6,68,No,5,7
BITS0774,4,98,No,7,2
BITS0775,3,64,Yes,4,7
BITS0776,4,48,No,9,4
BITS0777,1,95,No,5,1
BITS0778,4,42,Yes,6,8
BITS0779,1,65,No,6,3
BITS0780,1,87,Yes,8,6
BITS0781,6,82,No,6,7
BITS0782,5,66,Yes,8,6
BITS0783,4,75,No,6,5
BITS0784,3,71,Yes,6,6
BITS0785,1,40,No,6,3
BITS0786,6,96,No,8,9
BITS0787,2,92,No,9,0
BITS0788,8,93,No,8,4
BITS0789,5,55,No,7,7
BITS0790,7,90,Yes,4,9
BITS0791,2,87,Yes,4,5
BITS0792,8,50,Yes,9,4
BITS0793,2,65,No,4,1
BITS0794,4,79,Yes,6,9
BITS0795,1,94,No,9,4
BITS0796,5,40,No,4,9
BITS0797,9,65,Yes,8,2
BITS0798,1,67,Yes,7,1
BITS0799,9,92,No,5,2
BITS0800,8,,No,7,3
BITS0801,6,48,Yes,4,1
BITS0802,7,99,Yes,9,3
BITS0803,3,98,No,4,3
BITS0804,1,83,No,8,5
BITS0805,5,61,Yes,7,4
BITS0806,2,47,No,8,6
BITS0807,5,97,No,8,6
BITS0808,8,88,Yes,5,2
BITS0809,9,81,Yes,8,8
BITS0810,2,66,No,8,6
BITS0811,3,78,No,5,6
BITS0812,3,58,Yes,6,1
BITS0813,1,64,No,6,9
BITS0814,8,77,Yes,9,2
BITS0815,6,60,No,5,2
BITS0816,8,63,Yes,9,5
BITS0817,9,63,No,9,3
BITS0818,5,99,No,8,3
